,Squeeze,Squeeze_std,Squeeze_count,Squeeze-95CI,Compress,Compress_std,Compress_count,Compress-95CI,Squeeze-Small,Squeeze-Small_std,Squeeze-Small_count,Squeeze-Small-95CI,Compress-Small,Compress-Small_std,Compress-Small_count,Compress-Small-95CI,Squeeze-Large,Squeeze-Large_std,Squeeze-Large_count,Squeeze-Large-95CI,Compress-Large,Compress-Large_std,Compress-Large_count,Compress-Large-95CI,Small,Small_std,Small_count,Small-95CI,Large,Large_std,Large_count,Large-95CI
count,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
mean,18.99274046049383,4.940102469597006,30.0,1.7677929652037023,19.800266679012346,3.539398304682721,30.0,1.2665574170939091,16.907237674074075,4.880690543321206,15.0,2.4699702037906084,18.534017185185185,3.2404254014082605,15.0,1.639881512266139,21.07824324691358,3.8708240918903782,15.0,1.9589072665480114,21.06651617283951,3.3022066122231895,15.0,1.6711471187438525,17.72062742962963,4.250272436133339,30.0,1.520940458024275,21.072379709876547,3.6280105654822905,30.0,1.2982669073800597
std,0.8178116309835126,0.6293370284528843,0.0,0.2252053633478513,0.4811613291012515,0.4007613001220464,0.0,0.14341058944460255,1.235764716655125,0.9826979723412127,0.0,0.4973137898139636,0.8175998056282349,0.6015107193749484,0.0,0.30440642383071054,1.053025400909418,0.9924933303955674,0.0,0.5022709249396119,0.7163044599590672,0.5936343656853653,0.0,0.3004204389060143,0.6747791321022121,0.680351359419971,0.0,0.24346060723463375,0.6334559354585784,0.6157007784371168,0.0,0.2203256939486862
min,17.5193373,3.6578189579809024,30.0,1.308933703643372,18.793693666666666,2.437113318179695,30.0,0.872109800514679,14.839664266666666,2.7610007401582917,15.0,1.3972591583719234,17.07865466666667,2.2782607067857295,15.0,1.1529589946914494,18.634083333333333,2.0755389218653777,15.0,1.050367616695214,19.477622,2.059423190876744,15.0,1.0422119315517049,16.518145666666666,3.1433754333240893,30.0,1.1248424526055976,19.83457566666667,2.462214669019294,30.0,0.8810922035527627
25%,18.666855133333335,4.439775573798727,30.0,1.58875328492627,19.490108499999998,3.2940472060472317,30.0,1.1787596540227718,16.036865300000002,4.119543980038305,15.0,2.0847768965445637,17.973123,2.7670316400759596,15.0,1.4003112148312429,20.3756135,3.2182828377730597,15.0,1.6286758289864802,20.671172,2.8831564857083434,15.0,1.4590784950113533,17.207813583333333,3.643786114067761,30.0,1.3039121149406832,20.627324266666665,3.076966126260735,30.0,1.1010781872744317
50%,19.009921333333335,4.8988200709549705,30.0,1.7530202485737825,19.686351666666667,3.5417192487325146,30.0,1.2673879562556183,17.035082666666668,4.819912411666339,15.0,2.4392122254067883,18.335178,3.3416157404555062,15.0,1.691090889328609,21.135691866666665,3.760663916693053,15.0,1.903158526084619,21.140598,3.2274831583441665,15.0,1.6333318335977645,17.781572266666668,4.10194873864344,30.0,1.4678635045381185,21.094823,3.5690581754653703,30.0,1.2771710655437347
75%,19.584608633333335,5.399714257476228,30.0,1.932262931229299,20.145170666666665,3.8404587867946063,30.0,1.374290527014935,17.935401166666665,5.605322098018691,15.0,2.8366843670719613,19.059643666666666,3.618640486369756,15.0,1.8312847537106043,21.91331533333333,4.50618972658038,15.0,2.2804466414105105,21.471314333333332,3.6995167939174607,15.0,1.8722138124293122,18.260835266666668,4.945698923144731,30.0,1.7697956303857798,21.462897166666668,4.103287658683394,30.0,1.4683426309210565
max,20.6941686,6.596019374128176,30.0,2.360355219288058,21.074531666666665,4.150684855711162,30.0,1.485303500051145,19.319769866666668,6.741672448578478,15.0,3.4117569888734964,20.54121466666667,4.500902147830026,15.0,2.277770757363438,22.803122666666663,6.310797329270954,15.0,3.193704093120735,22.347577333333334,4.435462892725057,15.0,2.244653925056029,18.827473933333334,5.331399295362824,30.0,1.9078167359964127,22.322618,4.827068984512991,30.0,1.7273444520415293
