Maximum Force
21,90963
21,90963
21,90963
21,88502
22,49452
24,34602
16,5923
16,30542
16,95151
21,90963
14,56236
15,32123
25,0502
20,48219
15,26615
16,5923
25,17802
23,53988
13,82072
16,30542
26,56686
21,88502
17,01206
17,39714
22,21022
21,88502
14,47197
15,57921
21,90963
17,20378
26,56686
17,14159
24,9239
21,83599
15,63426
17,51566
18,74371
21,83599
18,25729
18,67595
19,56721
21,90963
16,71433
15,16251
19,56721
23,43087
14,56236
21,83599
15,80222
19,28024
15,57921
15,26615
21,90963
24,55391
21,90963
16,07419
17,39714
23,87426
16,4661
18,54217
26,56686
18,54217
15,96001
15,10876
21,83599
18,74796
17,65086
18,11479
21,88502
21,88502
21,83599
19,05157
19,28024
20,05713
17,71753
21,88502
18,74371
18,89832
21,90963
14,61159
12,43673
18,97676
19,56721
21,83599
26,56686
21,83599
15,10876
17,01206
15,57921
21,83599
18,74371
16,65305
21,88502
21,88502
14,88838
21,88502
21,83599
24,9239
21,88502
26,56686
19,05157
26,56686
13,82072
18,11479
14,47197
21,90963
14,3761
16,95151
