Maximum Force
26,06228
22,80116
13,00898
19,56721
20,39339
17,14159
16,4661
15,57921
6,676116
25,17802
16,47236
15,74576
5,102666
23,33737
26,56686
26,56686
20,2236
20,56661
9,963282
15,80222
26,06228
24,44145
21,88502
16,5923
27,87647
20,90171
13,26302
16,36678
18,82493
16,83852
11,75527
16,83852
16,77615
22,21022
16,47236
16,90144
27,15669
18,47201
15,57921
15,058
19,56721
14,91304
21,88502
19,42247
25,17802
23,01349
15,74576
17,58478
22,31261
19,2033
11,20617
16,13052
8,416575
19,42247
14,88838
17,14159
28,34423
19,50153
26,56686
21,90963
12,00576
25,53547
18,74371
17,20378
20,3055
27,44767
17,99031
14,86136
9,880693
23,33737
13,05202
16,90144
23,01349
23,12492
8,48581
26,56686
26,56686
24,67579
12,23059
16,71433
22,00875
17,33329
7,996629
26,56686
18,25729
25,42961
10,65058
13,82072
14,81011
19,28024
16,71433
16,41316
18,74796
24,79911
15,57921
18,74371
23,99589
16,4661
15,52461
15,16251
11,05936
22,21022
11,24013
14,91304
20,90171
21,81767
13,22017
14,88838
