Maximum Force
22,00875
17,46515
11,27433
14,18442
20,13743
17,01206
13,31941
21,88502
19,82556
17,65086
21,88502
17,20378
21,90963
15,85631
16,07419
17,46515
19,58135
20,39339
14,76169
20,3055
14,47197
21,90963
15,16251
15,21412
18,74796
20,74337
21,90963
23,6501
21,90963
16,01539
16,53207
20,2236
21,83599
16,71433
16,41316
15,37414
26,06228
18,97676
17,51566
18,61714
23,6501
21,90963
19,58135
14,32648
14,66122
14,76169
21,90963
19,90368
20,74337
14,71126
8,076265
16,24763
18,67595
20,39339
11,90203
13,91427
18,18571
21,72057
16,4661
15,96001
23,33737
20,48219
26,56686
15,80222
17,46515
20,39339
14,81011
14,51121
24,22796
21,83599
21,88502
19,56721
21,88502
14,72802
26,56686
18,74371
14,91304
16,53207
14,32648
17,07653
20,13743
25,29874
13,4726
19,56721
21,81767
19,34417
18,67595
16,36678
21,88502
19,50153
19,56721
21,90963
24,79911
21,83599
15,52461
18,18571
22,49452
21,83599
19,56721
21,90963
17,65086
21,90963
18,11479
16,53207
21,90963
23,43087
17,07653
20,13743
